emploee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,picture
100,baruch,snir,baruchsnir@outlook.com,0507221859,04/20/2009,1,24000.00,0.3,0,1,baruch.jpg
101,James,Butt,jbutt@gmail.com,0504845142,04/01/2010,2,34000.00,0.3,100,10,James_Butt.jfif
102,Josephine,Darakjy,josephine_darakjy@darakjy.org,0523749840,10/05/2009,3,34000.00,0.3,100,11,Josephine_Darakjy.jfif
103,Mark,Zuckerberg,markz@venere.org,0502644130,01/07/2009,4,33000.00,0.3,100,12,Mark_Zuckerberg.jfif
104,Donette,Foller,donette.foller@cox.net,0545701893,10/09/2009,"11;12;13",30000.00,0.1,101,10,Donette_Foller.jfif
105,Simona,Morasca,simona@morasca.com,0548006759,01/03/2011,"11;13",30000.00,0.1,101,10,Simona_Morasca.jfif
106,Mitsue,Tollner,mitsue_tollner@yahoo.com,0515736914,01/03/2011,11,29000.00,0.1,101,10,Mitsue_Tollner.jfif
107,Leota,Dilliard,leota@hotmail.com,0508131105,01/06/2012,21,20000,0.2,102,11,Leota_Dilliard.jfif
108,Sage,Wieser,sage_wieser@cox.net,0584142147,01/01/2013,21,20000,0.2,102,11,Sage_Wieser.jfif
109,Kris,Marrier,kris@gmail.com,0528044694,01/07/2013,21,20000,0.2,102,11,Kris_Marrier.jfif
110,Minna,Amigon,minna_amigon@yahoo.com,0554228694,01/01/2014,31,21000,0.2,103,12,Minna_Amigon.jfif
111,Abel,Maclead,amaclead@gmail.com,0536773675,01/01/2013,31,21000,0.2,103,12,Abel_Maclead.jtif
112,Kiley,Caldarera,kiley.caldarera@aol.com,0502543084,01/08/2013,31,21000,0.2,103,12,Kiley_Caldarera.jfif
113,Graciela,Ruta,gruta@cox.net,0517808425,01/09/2013,11,27000.00,0.1,101,10,Graciela_Ruta.jfif
114,Cammy,Albares,calbares@gmail.com,0548417216,09/09/2013,11,27000.00,0.1,101,10,Cammy_Albares.jfif
115,Mattie,Poquette,mattie@aol.com,0529536360,09/01/2014,21,21000,0.2,102,11,team_2.jpg
116,Daniel,Square,daniels@hotmail.com,0542357959,01/01/2012,21,22000,0.2,102,11,daniel_square.jfif
117,Gladys,rim,gladys.rim@rim.org,0546619598,11/01/2013,11,20000.00,0.1,104,10,team_3.jpg
118,Yuki,Whobrey,yuki_whobrey@aol.com,0543414470,10/01/2013,11,20000.00,0.1,104,10,team_4.jpg
119,Fletcher,Flosi,flosi@yahoo.com,0524265657,01/05/2013,"31;32",19000,0.2,110,12,Fletcher_Flosi.jfif
120,Bette,Nicka,bette_nicka@cox.net,0504924643,05/05/2013,"31;33",19000,0.2,110,12,Bette_Nicka.jfif
121,Dave,Amigon,Dave_amigon@yahoo.com,0554233694,01/01/2013,41,28000,0.2,100,13,Dave_Amigon.jfif
122,Moses,Chohen,moses.choen@rim.org,0546634531,11/03/2013,11,20000.00,0.1,121,10,Moses_Chohen.jpg
